bcc1 1.090000 1.614063 1.170000 0.000000
bcc2 1.090000 0.853015 1.410000 0.000000
bcc3 1.090000 0.580963 1.510000 0.000000
bcc4 1.090000 0.435100 1.530000 0.000042
bcc5 1.090000 0.368583 1.510000 0.001298
bcc6 1.130000 0.325346 1.510000 0.005835
bcc7 1.130000 0.303612 1.510000 0.014538
bcc8 1.130000 0.277341 1.510000 0.026066
bcc9 1.130000 0.259365 1.510000 0.037703
bcc10 1.110000 0.238764 1.510000 0.049722
bcc11 1.110000 0.222678 1.550000 0.059879
bcc12 1.110000 0.207621 1.530000 0.067722
bcc13 1.090000 0.195426 1.550000 0.075188
bcc14 1.030000 0.177064 1.550000 0.082516
bcc15 1.090000 0.174475 1.530000 0.088820
bcc16 1.110000 0.168446 1.530000 0.094567
bcc17 1.090000 0.160724 1.570000 0.100070
bcc18 1.050000 0.149835 1.530000 0.104372
bcc19 1.050000 0.146136 1.550000 0.108714
bcc20 1.050000 0.141715 1.570000 0.111985
fcc1 1.130000 2.008064 1.210000 0.000000
fcc2 1.130000 1.121184 1.290000 0.000000
fcc3 1.110000 0.771835 1.350000 0.000013
fcc4 1.110000 0.592890 1.370000 0.000880
fcc5 1.110000 0.476168 1.370000 0.006547
fcc6 1.110000 0.404208 1.390000 0.019394
fcc7 1.110000 0.340151 1.390000 0.034691
fcc8 1.110000 0.300436 1.410000 0.049263
fcc9 1.090000 0.264857 1.450000 0.060790
fcc10 1.070000 0.239641 1.490000 0.067600
fcc11 1.110000 0.222346 1.510000 0.073863
fcc12 1.090000 0.206196 1.510000 0.079039
fcc13 1.070000 0.189519 1.530000 0.084103
fcc14 1.010000 0.173235 1.510000 0.091394
fcc15 1.050000 0.171235 1.570000 0.096542
fcc16 1.050000 0.160574 1.490000 0.101094
fcc17 1.090000 0.156875 1.510000 0.105645
fcc18 1.050000 0.148107 1.570000 0.109783
fcc19 1.070000 0.143322 1.550000 0.112069
fcc20 1.030000 0.140272 1.510000 0.114378
hcp1 1.130000 2.008564 1.210000 0.000000
hcp2 1.130000 1.123451 1.270000 0.000000
hcp3 1.130000 0.775872 1.350000 0.000000
hcp4 1.130000 0.597499 1.370000 0.000750
hcp5 1.110000 0.477037 1.370000 0.006431
hcp6 1.110000 0.401627 1.370000 0.019447
hcp7 1.110000 0.342734 1.390000 0.034326
hcp8 1.110000 0.299944 1.410000 0.049031
hcp9 1.110000 0.268270 1.450000 0.061136
hcp10 1.110000 0.244560 1.490000 0.067907
hcp11 1.050000 0.215046 1.490000 0.073464
hcp12 1.070000 0.203498 1.530000 0.080005
hcp13 1.110000 0.190377 1.490000 0.085802
hcp14 1.070000 0.180060 1.510000 0.090830
hcp15 1.090000 0.169282 1.550000 0.095138
hcp16 1.030000 0.158012 1.550000 0.100525
hcp17 1.030000 0.152129 1.570000 0.105242
hcp18 1.050000 0.148988 1.530000 0.107787
hcp19 1.050000 0.141477 1.550000 0.111725
hcp20 1.070000 0.138720 1.570000 0.114188
